,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
10,"The Good, the Bad and the Ugly - İyi, Kötü ve Çirkin(Il buono, il brutto, il cattivo) ",8.8,1966,"İspanya, Italy, West Almanya",178 dakika,Macera,Sergio Leone,"uciano Vincenzoni, Sergio Leone, Agenore Incrocci","Clint Eastwood, Eli Wallach, Lee Van Cleef",3 ödül & 6 Adaylık.,"Üç farklı mizaç ve zevke sahip üç farklı adam, altından bir servet bulmak için uzun ve macera dolu bir yolculuğa çıkar. Eski bir kelle avcısı ve bağışlayıcı olan birinci adam altının gömülü olduğu mezarlığın adını bilirken, ikincisi, çabuk öfkelenen açgözlü bir adamdır ve mezarın üzerindeki adı bilir. Acımasız, soğukkanlı bir katil olan üçüncü adam, hiçbir şey bilmiyor, bu yüzden yolculuk sürecinde bir şeyler bulmalıdır. Kült Filmlerden 1080p görüntü kalitesiyle The Good, the Bad and the Ugly izle yebilirsiniz."
11,Forrest Gump,8.8,1994,Amerika,142 dakika,"Drama, Romantik",Robert Zemeckis,"inston Groom, Eric Roth ","Michael Conner Humphreys, Rebecca Williams, Sally Field, Tom Hanks",6 Oscar Kazandı. Diğer 44 ödül & 74 adaylık.,"Dünyaya Forrest Gump’ın gözleriyle baktıktan sonra bir daha hiç bir şeyi aynı görmeyeceksiniz. Öykümüz düşük IQ'lu Forrest Gump’ın yaşamını ve hayatının aşkı olan Jenny ile tanışmasını konu ediniyor. Film boyunca, Gump’ın 50’lerden 70’lerin sonuna kadar gelen bir süre zarfında aralarında Elvis Presley, Kennedy, Nixon’ın da olduğu tarihsel kişilerle kaza eseri tanışmasını izliyoruz. Gump tamamen tesadüf olarak Vietnam savaşına ve Amerikan yakın tarihinin önemli olaylarına şahitlik ediyor hatta bu olaylarda yer alıyor. Örneğin dans bilgisi olmadığı halde Elvis Presley'e dans etmeyi öğretir, bir futbol yıldızı olur ve John F.Kennedy ile tanışır, Washington Anıtı'nda savaş karşıtı bir mitingde konuşur Yippiler ile takılır, Çin milli takımının en iyi oyuncusunu masa tenisinde mağlup eder Richard Nixon ile tanışır..."
12,Fight Club - Dövüş Kulübü,8.8,1999,"Almanya, Amerika",139 dakika,Dram,David Fincher,"huck Palahniuk, Jim Uhls ","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",1 Oscar Adaylığı. Diğer 11 ödül & 37 adaylık.,"Geceleri uyuyamayan ve asabi bir karaktere sahip olan karakterimiz sıkıcı hayatından kurtulmak için yeni bir şeylere ihtiyaç duyar. Bir kanser destek grubuna katılır ancak grupta yaptıkları tek şey birbirlerinin göğsüne ağlamaktır. Bir uçak yolculuğu esnasında sabun satıcısı bir adamla tanışır. Zamanla iki sıkı dost haline gelirler, bir gün ikili durduk yere yumruk yumruğa kavga eder bu saldırma içgüdüleri beklenmedik bir şekilde bilinmeyen bir tedavi şekline dönüşür. Zamanla aralarına yeni insanlarda alırlar ve aralarına katılan insan sayısı her geçen gün artar. Yarattıkları kavram beğenilmiştir, her şehirde yasa dışı dövüş kulüpleri kurulmaya başlar. Filmde Brad Pitt, Edward Norton ve Helena Bonham Carter efsane performanslar sergiliyor. Kült Filmlerden 1080p görüntü kalitesiyle Fight Club izle yebilirsiniz."
13,Yüzüklerin Efendisi: Yüzük Kardeşliği(The Lord of the Rings: The Fellowship of the Ring) ,8.8,2001,"Amerika, Yeni Zelanda",178 dakika,"Aksiyon, Dram, Macera",Peter Jackson,".R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson ","Alan Howard, Noel Appleby, Sala Baker, Sean Astin",4 Oscar Kazandı. Diğer 114 ödül & 124 adaylık.,"Yüzüklerin Efendisi: Yüzük Kardeşliği'nde, bir grup kahraman gizemli yüzüğü bulup Hüküm Dağı'na götürmek için Frodo Baggins öncülüğünde tehlikeli bir yolcuğua çıkar. Kötü Lord Sauron'un büyülü güçlerine asla erişememesi için yüzüğü ondan önce bulup yok etmeleri gerekiyor. Kült Filmlerden 1080p görüntü kalitesiyle The Lord of the Rings: The Fellowship of the Ring izle yebilirsiniz."
14,Who’s Singin’ Over There? - Ko to tamo peva,8.8,1980,Yugoslavia,86 dakika,"Dram, Komedi, Macera",Slobodan Sijan,usan Kovacevic,"Danilo 'Bata' Stojkovic, Dragan Nikolic, Pavle Vuisic",5 ödül & 1 nomination,"Bu bir kara komedidir. Film, Yugoslavya Krallığı'nın son günlerinde, Yugoslavya'nın Mihver işgalinden hemen önce, 1941'de Belgrad'a otobüsle seyahat eden bir grup yolcunun hikayesini anlatıyor. Kült Filmlerden 1080p görüntü kalitesiyle Ko to tamo peva izle yebilirsiniz."
15,The Matrix - Matrix,8.7,1999,"Australia, United States",136 dakika,"Aksiyon, Bilim Kurgu","Lana Wachowski, Lilly Wachowski","illy Wachowski, Lana Wachowski","Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne",4 Oscar Kazandı. 42 ödül & 51 adaylık. total,"Thomas A. Anderson iki hayat yaşayan bir adamdır. Gündüzleri bilgisayar teknikeri, geceleri ise Neo olarak bilinen bir hacker. Neo her zaman kendi gerçekliğini sorgulamıştır ama gerçek onun hayal gücünün çok ötesindedir. Neo, hükümet tarafından terörist olarak damgalanan efsanevi bilgisayar korsanı Morpheus ile temasa geçtiğinde o da polis tarafından hedef alınır. Kült Filmlerden 1080p görüntü kalitesiyle The Matrix 1 izle yebilirsiniz."
16,Canım Kardeşim(My Dear Brother) ,8.7,1973,Türkiye,92 dakika,"Dram, Yerli",Ertem Egilmez,adik Sendil,"Halit Akçatepe, Kahraman Kiral, Tarik Akan",4 ödül & 2 Adaylık.,"Kahraman, ağabeyi Murat ve sadık arkadaşı Halit ile fakir ama neşeli bir hayat sürmektedir. Gecenin ilerleyen saatlerinde evde çıkan yangının ardından babaları dumandan zehirlenerek öldü. Kahraman ağabeyi Murat'a kalır. Kahraman'ın tek hayali evine televizyon almaktır. Bir gün Kahraman halsizleşir. Ağabeyi ve arkadaşı onu doktora götürür, doktor kardeşinin kanser olduğunu söyler. Murat ve arkadaşı, kanser olan Kahraman'ın haberini aldıklarında çok şaşırır ve üzülürler. Doktor kardeşine her isteği yerine getirmesini söyler. Kötü durumlarına rağmen lokantalarda yemek yerler, lunaparka götürürler ve her isteklerini yerine getirirler."
17,Wildcat - Yaban Kedisi,8.7,2022,United States,106 dakika,Belgesel,"Melissa Lesh, Trevor Frost",Senarist belirtilmemiş.,"Cristian De La Cruz, Dante Cueva Altamirano, Erick Scott Vargas Laura",5 ödül & 3 Adaylık.,"Ağır depresyon ve TSSB ile Afganistan'dan döndükten sonra Harry Turner, hayatına son vermek için Peru Amazon'una gider. Orada çevreci ve bilim adamı Samantha Zwicker ile tanıştı ve birlikte çalışmaları sayesinde öksüz vahşi yaşamı yetiştirmek için yaşamak için bir sebep buluyor. Yaban Kedisi, iki öksüz ocelotun ve yağmur ormanının yalnızlığının travmatik geçmişleri olan genç bir adama ve genç bir kadına nasıl yardımcı olduğuna tanık olmaları için izleyicileri ücra Las Piedras Nehri'ne götürüyor. Bu uzun metrajlı belgesel, vahşi yerlerin üzerimizdeki etkisi ve bizim onlar üzerindeki etkimiz hakkında samimi, karakter odaklı bir hikaye."
18,Yüzüklerin Efendisi: İki Kule(The Lord of the Rings: The Two Towers) ,8.7,2002,"Amerika, Yeni Zelanda",179 dakika,"Aksiyon, Dram, Macera",Peter Jackson,".R.R. Tolkien, Fran Walsh, Philippa Boyens, Stephen Sinclair, Peter Jackson ","Bruce Allpress, John Bach, Sala Baker, Sean Astin",2 Oscar Kazandı. Diğer 123 ödül & 137 adaylık.,"The Lord of the Rings: The Two Towers adlı serisinin ikici filminde Kardeşliğin hayatta kalan üyeleri üç gruba ayrıldı. Frodo ve Sam, Hüküm Dağı'nın ateşlerinde Tek Yüzüğü yok ederek Orta Dünya'yı kurtarmak için devam eden yolculukta birçok tehlikeyle karşılaşır. Merry ve Pippin, Orklardan kaçarlar ve Entleri kötülüğe karşı savaşa katılmaya ikna etmeye çalışırlar. Aragorn, Gimli ve Legolas yolda Gandalf'la karşılaşır Miğfer Dibi'nde Sauron'un yeni müttefiki Saruman'ın ordusuyla savaşır. Bu sırada yüzüğün asıl taşıyıcılarından biri olan yaratık Gollum, Frodo ve Sam'i ""kıymetli"" yüzüğünü geri almak için takip eder... Kült Filmlerden 1080p görüntü kalitesiyle The Lord of the Rings: The Two Towers izle yebilirsiniz."
19,One Flew Over the Cuckoo’s Nest - Guguk Kuşu,8.7,1975,Amerika,133 dakika,Drama,Milos Forman,"awrence Hauben, Bo Goldman, Ken Kesey, Dale Wasserman ","Jack Nicholson, Louise Fletcher, Michael Berryman, Will Sampson",5 Oscar Kazandı. Diğer 30 ödül & 13 adaylık.,"McMurphy deli taklidi yaparak hapishaneden kurtulabileceğini düşünen bir mahkumdur. Akıl hastanesine gönderildiğinde planı geri teper. Buradaki diğer insanlarla kart oyunları ve basketbol oynayarak biraz canlandırmaya çalışıyor, ancak baş hemşire her fırsatta peşinde.... One Flew Over the Cuckoo's Nest - Guguk Kuşu filmini kült filmerden en iyi görüntü kalitesiyle altyazılı olarak izleyebilirsiniz..."
20,Star Wars: Episode V - The Empire Strikes Back - Yıldız Savaşları Bölüm V: İmparatorun Dönüşü,8.7,1980,United States,124 dakika,"Aksiyon, Fantastik, Macera",Irvin Kershner,"eigh Brackett, Lawrence Kasdan, George Lucas","Carrie Fisher, Harrison Ford, Mark Hamill",1 Oscar Kazandı. 25 ödül & 20 adaylık. total,"İsyancılar buz gezegeni Hoth'ta İmparatorluk tarafından acımasızca alt edildikten sonra, Luke Skywalker Yoda ile Jedi eğitimine başlarken, arkadaşları Darth Vader ve ödül avcısı Boba Fett tarafından galaksinin dört bir yanında takip ediliyor. Kült Filmlerden 1080p görüntü kalitesiyle Star Wars: Episode V – The Empire Strikes Back izle yebilirsiniz."
21,Harakiri(Seppuku) ,8.6,1962,Japan,133 dakika,"Aksiyon, Dram, Gizem",Masaki Kobayashi,"asuhiko Takiguchi, Shinobu Hashimoto ","Akira Ishihama, Shima Iwashita, Tatsuya Nakadai, Tetsurô Tanba",8 ödül & 2 Adaylık.,"Hanshiro Tsugumo adındaki bir samuray harakiri yapmak için uygun bir yer bulmak amacıyla Iyi Klan'ına gelir. İçinde bulunduğu koşullar nedeniyle Iyi topraklarında harakiri yani intihar ritüeli yapmak ister. Bir süre sonra bu isteğin çok sıra dışı bir talep olmadığı ortaya çıkar. Klan daha öncede bu tür talepler almıştır, ancak talep sahibinin bu isteği niyetide göz önünde bulundurularak her zaman onay almayabilir. Film klan lideri, Tsugumo'ya istekte bulunan son samurayın hikayesini ve olayların nasıl devam ettiğini anlatıyor. 

"
22,Seven Samurai - Yedi Samuray(7 Samurai) ,8.6,1954,Japan,207 dakika,"Aksiyon, Drama, Macera",Akira Kurosawa,"kira Kurosawa, Shinobu Hashimoto, Hideo Oguni ","Keiko Tsushima, Takashi Shimura, Toshirô Mifune, Yukiko Shimazaki",2 Oscar Adaylığı. Diğer 5 ödül & 6 adaylık.,"On altıncı yüzyılda, Japonya'da, yoksul bir köyün pirinç mahsulleri haydutlar tarafından sık sık yağmalanır. Köy sakinleri çareyi bir Samuray tutmakta bulurlar. Deneyimli Samuray Kambei 6 Samuray daha toplar ve bir savunma stratejisi çizer yaklaşan savaş için köylülere topraklarını ve ailelerini nasıl koruyacakları konusunda eğitmeye başlar."
23,The Silence Of The Lambs - Kuzuların Sessizliği,8.6,1991,Amerika,118 dakika,"Drama, Gerilim, Suç",Jonathan Demme,"homas Harris, Ted Tally ","Jodie Foster, Kasi Lemmons, Lawrence A. Bonney, Lawrence T. Wrentz",5 Oscar Kazandı. Diğer 63 ödül & 51 adaylık.,"Akademiden başarıyla mezun olmuş genç FBI ajanı Clarice Starling, kurbanlarının derilerini yüzen sapık bir katilin elinden bir kadını kurtarmaya çalışır. Clarice, katile ulaşmak için başka bir psikopat olan ünlü doktor Hannibal Lecter ile yakınlaşır. Lecter’dan bilgi alabilmesi için önce onun güvenini kazanması gerekmektedir. 1992 yılında 7 dalda Oscar’a aday olan film, yönetmeni ve başrol oyuncularına altın heykelciği getirirken en iyi film ve en iyi senaryo uyarlaması dalında da ödüle hak kazanmıştı. Kült Filmlerden 1080p görüntü kalitesiyle Kuzuların Sessizliği izle yebilirsiniz."
24,Farha,8.6,2021,"Jordan, Occupied Palestinian Territory, Saudi Arabia, Sweden",92 dakika,Dram,Darin J. Sallam,arin J. Sallam,"Ali Suliman, Ashraf Barhom, Karam Taher",3 ödül & 6 Adaylık.,"Farha, Filistin'de küçük bir köyde yaşayan 14 yaşında bir kızdır. Onun yaşındaki kızlar geleneksel olarak evlendirilir ancak Farha, köyünde sadece erkekler için olan okul kısıtlamalarına rağmen eğitimine devam etmek istiyor. Şehirde yaşayan ama hafta sonlarını köyde geçiren en yakın arkadaşı Farida'dan ayrılmayan Farha, şehirdeki bir okulda ona katılmanın hayalini kurar. Köydeki yaşam, yaklaşan tehlike tarafından tehdit ediliyor ve agresif bir şekilde değişiyor. Tam Farha'nın babası nihayet ikna olmuş ve Farha'nın hayali nihayet gerçek olurken, tehlike köylerine daha da yaklaşmaktadır. Şiddet tırmanırken Farha, Farida'dan acımasızca ayrılır. Kızının güvenliği için dehşete düşen ve hayatından endişe eden Farha'nın babası, onu gizli bir odaya kilitler. evin yanında küçük yiyecek depolama alanı, geri dönme sözü veriyor."
25,Star Wars Episode IV: A New Hope - Yıldız Savaşları Bölüm IV: Yeni Bir Umut,8.6,1977,"Amerika, İngiltere",121 dakika,"Aksiyon, Bilim Kurgu, Fantastik, Macera",George Lucas,eorge Lucas,"Carrie Fisher, Harrison Ford, Mark Hamill, Peter Cushing",6 Oscar Kazandı. Diğer 57 ödül & 29 adaylık.,"İmparatorluğun oluşumundan on dokuz yıl sonra Luke Skywalker, çöl gezegeni Tatooine'de yıllarca inzivaya çekilmiş Obi-Wan Kenobi ile tanışır ve birlikte Asi İttifakının mücadelesine atılır. Obi-Wan, Luke'un güzel Asi lideri Prenses Leia'yı kötü İmparatorluğun pençesinden kurtarmak için ona katıldığı cüretkar bir görevde Luke'un Jedi eğitimine başlar. Obi-Wan, eski çırağı Darth Vader ile bir ışın kılıcı düellosunda kendini feda etse de Luke, İmparatorluğun korkunç Ölüm Yıldızı'nı yok etmeye çalışacaktır. Kült filmlerden 1080p görüntü kalitesiyle Star Wars Episode IV: A New Hope altyazılı izle yebilirsiniz."
26,Life Is Beautiful - Hayat Güzeldir(La Vita è Bella) ,8.6,1997,İtalya,116 dakika,"Drama, Komedi, Romantik",Roberto Benigni,"incenzo Cerami, Roberto Benigni ","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",3 Oscar Kazandı. Diğer 67 ödül & 51 adaylık.,"Roberto Benigni imzalı bu İtalyan filmi, savaşın kurbanları üstündeki tesirini ve çocuk dimağlardaki yansımasını öyle hoş bir üslupla anlatmış ki, bu şaheser üç Oscar'la ödüllendirilmiş. Birkaç sene önce evlenip, bir de çocukları olan mutlu bir çiftin yolları İkinci Dünya Savaşı ile ayrılıyor. Tutsak kampına çocuğuyla beraber sevk edilen Guido için güç şartlara sabretmek ikincil emel olarak kalıyor ve oğluyla bir oyun oynamaya başlıyor. Bu oyun savaşın korkusunu oğlunun sezmemesi üzerine kurulu... Kült Filmlerden 1080p görüntü kalitesiyle Life Is Beautiful izle yebilirsiniz."
27,Saving Private Ryan - Er Ryan’ı Kurtarmak,8.6,1998,Amerika,169 dakika,"Dram, Savaş",Steven Spielberg,obert Rodat,"Barry Pepper, Edward Burns, Tom Hanks, Tom Sizemore",5 Oscar Kazandı. Diğer 74 ödül & 74 adaylık.,"Müttefiklerin Avrupa'yı işgali sırasında Fransa'ya paraşütle atlayan James Ryan, savaşta üç kardeşini kaybetti. Hükümet politikası, ailesinin tüm erkek çocuklarından mahrum kalmaması için eve dönmesi gerektiğini belirtir. Kaptan John Miller liderliğindeki ve Normandiya sahillerinden yeni gelen bir asker ekibi Er Ryan'ı bulmak ve kurtarmak için bir araya geliyor."
28,Se7en - Yedi(Seven) ,8.6,1995,Amerika,127 dakika,"Gerilim, Gizem, Suç",David Fincher,ndrew Kevin Walker,"Andrew Kevin Walker, Brad Pitt, Daniel Zacapa, Morgan Freeman",1 Oscar Adaylığı. Diğer 29 ödül & 40 adaylık.,"7 ölümcül günahı işleyenleri kendi vahşi yöntemleriyle öldüren bir seri katil ve onun peşindeki iki polis dedektifin çabalarını konu alan bir gerilim başyapıtı.Yönetmen David Fincher imzalı film, gerek sürükleyici konusu gerekse oyuncuların performanslarıyla gişede büyük başarı yakalamıştı. En iyi kurgu dalında 1996'da ödüle aday olan film bu ödülü alamamıştı.Özellikle sürpriz kötü adamı ve çarpıcı finali ile şimdiden bir klasik olarak yerini aldı. Kült Filmlerden 1080p görüntü kalitesiyle Seven izle yebilirsiniz."
29,Şahane Hayat - It’s a Wonderful Life,8.6,1946,Amerika,130 dakika,"Aile, Dram, Fantastik",Frank Capra,"rances Goodrich, Albert Hackett, Frank Capra, Jo Swerling, Philip Van Doren Stern ","Donna Reed, James Stewart, Lionel Barrymore, Thomas Mitchell",5 Oscar Adaylığı. Diğer 6 ödül & 1 nomination,"Ailesinin yükümlülükleri ve çevresine karşı sorumluluk duygusu ile boğulmuş bir genç olan George Bailey, çalışmaktan haz etmediği işine ve yaşamak istemediği bir hayata bağlı olduğunu hissediyor. Yaşlandıkça gençliğinin, hayallerinin ve fırsatlarının elinden kaydığını görüyor. Bu süreçte tüm arkadaşları ve ailesi bu zor zamanları atlatabilmesi için ona dua ediyor. George herşi geride bırakıp intiharın eşiğine gelmişken o sırada koruyucu meleği Clarence ortaya çıkıyor... Şahane Hayat – It's a Wonderful Life filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı olarak olarak izle yebilirsiniz..."
30,Spirited Away - Ruhların Kaçışı,8.6,2001,Japan,125 dakika,"Aile, Animasyon, Fantastik, Gizem, Macera",Hayao Miyazaki,ayao Miyazaki,"Mari Natsuki, Miyu Irino, Rumi Hiiragi, Takashi Naitô",1 Oscar Kazandı. Diğer 57 ödül & 30 adaylık.,"10 yaşındaki Chihiro ve ailesi kırsal bir bölgede aile gezintisi yaptıkları esnada terk edilmiş bir eğlence parkına rastlıyorlar. Chihiro'nun ürpertici ortamla ilgili önsezilerine rağmen, ailesi bölgeyi keşfetmeye devam ediyor ve sonunda taze yiyeceklerle dolu boş bir konteyner bulup bunları yiyerek kendilerini şımartırlar. Sadakatsizliklerinin bir sonucu olarak, gizemli bir şekilde domuzlara dönüşürler ve bu da Chihiro'yu korkutur. Chihiro kendisine, bu bölgesinin aslında doğaüstü varlıkların dünya aleminde rahatlık istediği bir tür tatil köyü olduğunu açıklayan gizemli Haku ile tanışıyor... Spirited Away – Ruhların Kaçışı filmini kült filmlerden türkçe altyazılı olarak 1080p görüntü kalitesiyle izleyebilirsiniz. İyi seyirler..."
31,Parasite - Parazit(Gisaengchung) ,8.6,2019,Güney Kore,132 dakika,"Dram, Komedi, Suç",Bong Joon Ho,"ong Joon Ho, Bong Joon Ho, Jin Won Han ","Kang-ho Song, Sun-kyun Lee, Woo-sik Choi, Yeo-jeong Jo",4 Oscar Kazandı. Diğer 266 ödül & 236 adaylık.,"Filmde farklı statüdeki iki ailenin yollarının kesişmesi çarpıcı, akıcı ve eleştirel bir dille anlatılıyor. Bu ailelerden ilki yaşam koşulları son derece iyi olan zengin Park ailesi, ikinci aile ise bodrum denilecek bir dairede yaşıyor ve aile bireylerinin düzenli bir işi yok, maddi zorluklarla mücadele ediyorlar. Parazit - Gisaengchung filmini kült filmlerden 1080p türkçe altyazılı izle yebilirsiniz."
